producto;link;metodo
margarina_para_cocinar;https://diaonline.supermercadosdia.com.ar/margarina-danica-dorada-pote-210-gr-169957/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-larga-vida-liviana-1--la-serenisima-1-lt-295998/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-larga-vida-clasica-3--la-serenisima-1lt-295999/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-descremada-sancor-1-lt-46411/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-entera-dia-sachet-1-lt-30111/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-parcialmente-descremada-dia-sachet-1-lt-30112/p;dia_kg
leche_fluida;https://diaonline.supermercadosdia.com.ar/leche-entera-clasica-la-serenisima-botella-larga-vida-1-lt-165870/p;dia_kg
leche_en_polvo_entera;https://diaonline.supermercadosdia.com.ar/leche-entera-en-polvo-dia-400-gr-102960/p;dia_kg
leche_en_polvo_entera;https://diaonline.supermercadosdia.com.ar/leche-en-polvo-la-serenisima-entera-200-gr-277953/p;dia_kg
leche_en_polvo_entera;https://diaonline.supermercadosdia.com.ar/leche-en-polvo-entera-la-lechera-800-gr-169108/p;dia_kg
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-crema-clasico-casancrem-480-gr-298789/p;dia_kg
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-blanco-light-casancrem-480-gr-298792/p;dia_kg
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-untable-clasico-tonadita-180-gr-264217/p;dia_kg
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-finlandia-reducido-en-calorias-la-serenisima-290gr-295393/p;dia_kg
queso_crema;https://diaonline.supermercadosdia.com.ar/queso-untable-tregar-light-300-gr-266109/p;dia_kg
queso_de_rallar;https://diaonline.supermercadosdia.com.ar/queso-rallado-sancor-40-gr-168063/p;dia_kg
queso_de_rallar;https://diaonline.supermercadosdia.com.ar/queso-rallado-dia-150-gr-24449/p;dia_kg
queso_de_rallar;https://diaonline.supermercadosdia.com.ar/queso-reggianito-rallado-la-serenisima-175-gr-273232/p;dia_kg
manteca;https://diaonline.supermercadosdia.com.ar/manteca-dia-calidad-extra-200-gr-89220/p;dia_kg
manteca;https://diaonline.supermercadosdia.com.ar/manteca-la-serenisima-200-gr-14938/p;dia_kg
manteca;https://diaonline.supermercadosdia.com.ar/manteca-dia-calidad-extra-100-gr-89361/p;dia_kg
manteca;https://diaonline.supermercadosdia.com.ar/manteca-tonadita-extra-calidad-200-gr-236478/p;dia_kg
manteca;https://diaonline.supermercadosdia.com.ar/manteca-yolcle-200-gr-51053/p;dia_kg
yogur;https://diaonline.supermercadosdia.com.ar/yogur-bebible-frutilla-la-serenisima-clasico-900-gr-298465/p;dia_kg
yogur;https://diaonline.supermercadosdia.com.ar/yogur-natural-sazucar-agregada-yogurisimo-300gr-298204/p;dia_kg
yogur;https://diaonline.supermercadosdia.com.ar/yogur-entero-batido-dia-frutilla-125-gr-30051/p;dia_kg
yogur;https://diaonline.supermercadosdia.com.ar/yogur-cremoso-vainilla-milkaut-190-gr-297405/p;dia_kg
yogur;https://diaonline.supermercadosdia.com.ar/yogur-bebible-frutilla-yogurisimo-900-gr-167745/p;dia_kg
yogur;https://diaonline.supermercadosdia.com.ar/yogur-entero-bebible-milkaut-frutilla-0--lactosa-1-kg-279029/p;dia_kg
dulce_de_leche;https://diaonline.supermercadosdia.com.ar/dulce-de-leche-la-serenisima-colonial-con-calcio-400-gr-273373/p;dia_kg
dulce_de_leche;https://diaonline.supermercadosdia.com.ar/dulce-de-leche-dia-400-gr-104723/p;dia_kg
dulce_de_leche;https://diaonline.supermercadosdia.com.ar/dulce-de-leche-milkaut-400-gr-297589/p;dia_kg
dulce_de_leche;https://diaonline.supermercadosdia.com.ar/dulce-de-leche-clasico-ilolay-415-gr-299471/p;dia_kg
huevo;https://diaonline.supermercadosdia.com.ar/huevos-grandes-blancos-don-ramon-6-uds-54365/p;dia_kg
huevo;https://diaonline.supermercadosdia.com.ar/huevo-blanco-grande-6-un-31924/p;dia_kg
manzana;https://diaonline.supermercadosdia.com.ar/manzana-roja-comercial-en-bolsa-malla-x-1-kg-90111/p;dia_kg
manzana;https://diaonline.supermercadosdia.com.ar/manzana-verde-x-1-kg-90112/p;dia_kg
naranja;https://diaonline.supermercadosdia.com.ar/naranja-jugo-x-1-kg-90117/p;dia_kg
naranja;https://diaonline.supermercadosdia.com.ar/naranja-ombligo-x-1-kg-90118/p;dia_kg
banana;https://diaonline.supermercadosdia.com.ar/banana-x-1-kg-90110/p;dia_kg
pera;https://diaonline.supermercadosdia.com.ar/pera-x-1-kg-90113/p;dia_kg
batata;https://diaonline.supermercadosdia.com.ar/batata-x-1-kg-90062/p;dia_kg
papa;https://diaonline.supermercadosdia.com.ar/papa-comercial-en-bolsa-malla-x-1-kg-90061/p;dia_kg
papa;https://diaonline.supermercadosdia.com.ar/papa-negra-x-1-kg-90094/p;dia_kg
papa;https://diaonline.supermercadosdia.com.ar/papa-blanca-en-malla-x-1-kg-90090/p;dia_kg
acelga;https://diaonline.supermercadosdia.com.ar/acelga-x-1-kg-90134/p;dia_kg
acelga;https://diaonline.supermercadosdia.com.ar/acelga-congelada-granja-del-sol-500-gr-20325/p;dia_kg
acelga;https://diaonline.supermercadosdia.com.ar/acelga-congelada-dia-400-gr-24132/p;dia_kg
cebolla;https://diaonline.supermercadosdia.com.ar/cebolla-comercial-en-bolsa-malla-x-1-kg-90063/p;dia_kg
cebolla;https://diaonline.supermercadosdia.com.ar/cebolla-elegida-premium-x-1-kg-90141/p;dia_kg
cebolla;https://diaonline.supermercadosdia.com.ar/cebolla-morada-x-1-kg-263485/p;dia_kg
choclo;https://diaonline.supermercadosdia.com.ar/choclo-cremoso-amarillo-dia-340-gr-231423/p;dia_kg
choclo;https://diaonline.supermercadosdia.com.ar/choclo-blanco-dia-cremoso-300-gr-279125/p;dia_kg
choclo;https://diaonline.supermercadosdia.com.ar/choclo-en-bandeja-1-un-90413/p;dia_kg
choclo;https://diaonline.supermercadosdia.com.ar/choclo-amarillo-sin-sal-dia-300-gr-280244/p;dia_kg
lechuga;https://diaonline.supermercadosdia.com.ar/lechuga-capuchina-x-1-kg-90079/p;dia_kg
lechuga;https://diaonline.supermercadosdia.com.ar/lechuga-mantecosa-x-1-kg-90143/p;dia_kg
tomate_perita;https://diaonline.supermercadosdia.com.ar/tomate-perita-x-1-kg-90074/p;dia_kg
tomate_perita;https://diaonline.supermercadosdia.com.ar/tomate-perita-canale-clasico-400-gr-263861/p;dia_kg
tomate_perita;https://diaonline.supermercadosdia.com.ar/tomate-perita-cubeteado-canale-400-gr-73755/p;dia_kg
zanahoria;https://diaonline.supermercadosdia.com.ar/zanahoria-x-1-kg-90122/p;dia_kg
zapallo;https://diaonline.supermercadosdia.com.ar/zapallo-x-1-kg-94087/p;dia_kg
zapallo;https://diaonline.supermercadosdia.com.ar/zapallito-redondo-x-1-kg-90121/p;dia_kg
zapallo;https://diaonline.supermercadosdia.com.ar/anco-x-1-kg-90120/p;dia_kg
tomate_envasado;https://diaonline.supermercadosdia.com.ar/pure-de-tomate-alco-520-gr-263653/p;dia_kg
tomate_envasado;https://diaonline.supermercadosdia.com.ar/tomate-triturado-dia-950-gr-55808/p;dia_kg
tomate_envasado;https://diaonline.supermercadosdia.com.ar/pure-de-tomate-mora-520-gr-264274/p;dia_kg
tomate_envasado;https://diaonline.supermercadosdia.com.ar/pure-de-tomate-canale-520-gr-263654/p;dia_kg
